tconst,primary_title,original_title,start_year,runtime_minutes,genres
tt0816462,Conan the Barbarian,Conan the Barbarian,2011,113,"Action,Adventure,Fantasy"
tt0816648,Shanghai Hotel,Shanghai Hotel,2011,110,Drama
tt0816692,Interstellar,Interstellar,2014,169,"Adventure,Drama,Sci-Fi"
tt0816711,World War Z,World War Z,2013,116,"Action,Adventure,Horror"
tt0817177,Flipped,Flipped,2010,90,"Comedy,Drama,Romance"
tt0817230,Valentine's Day,Valentine's Day,2010,125,"Comedy,Romance"
tt0817545,The Power of Few,The Power of Few,2013,96,"Action,Crime,Drama"
tt0818098,Dreamkiller,Dreamkiller,2010,110,Thriller
tt0818172,Soupernatural,Soupernatural,2010,,Drama
tt0821486,Manhattan Minutiae,Manhattan Minutiae,2016,99,"Comedy,Music,Romance"
tt0822847,Priest,Priest,2011,87,"Action,Adventure,Fantasy"
tt0825282,The Long Falling,Où va la nuit,2011,105,Drama
tt0825283,Maximum Ride,Maximum Ride,2016,88,"Action,Adventure,Comedy"
tt0825334,Caravaggio and My Mother the Pope,Caravaggio and My Mother the Pope,2018,90,"Comedy,Drama"
tt0826532,Return to Yucca Flats: Desert Man-Beast,Return to Yucca Flats: Desert Man-Beast,2010,79,"Comedy,Horror"
tt0826823,Magic,Magic,2010,,"Adventure,Family"
tt0828135,Wild in the Streets,Wild in the Streets,2012,82,Documentary
tt0829150,Dracula Untold,Dracula Untold,2014,92,"Action,Drama,Fantasy"
tt0829176,Gallowwalkers,Gallowwalkers,2012,90,"Action,Horror,Thriller"
tt0831280,Waking Madison,Waking Madison,2010,89,Drama
tt0831387,Godzilla,Godzilla,2014,123,"Action,Adventure,Sci-Fi"
tt0831881,Land,Land,2010,76,Documentary
tt0835418,The Babymakers,The Babymakers,2012,95,Comedy
tt0835775,Electric Slide,Electric Slide,2014,95,"Action,Biography,Crime"
tt0835802,Krystal,Krystal,2017,90,"Comedy,Drama"
tt0837156,Pee-wee's Big Holiday,Pee-wee's Big Holiday,2016,90,"Adventure,Comedy,Family"
tt0837559,Approaching Midnight,Approaching Midnight,2013,86,"Crime,Drama,Romance"
tt0837562,Hotel Transylvania,Hotel Transylvania,2012,91,"Animation,Comedy,Family"
tt0837563,Pet Sematary,Pet Sematary,2019,101,"Horror,Mystery,Thriller"
tt0838194,Retreat!,Retreat!,2016,,"Comedy,Drama,War"
tt0839742,Bhopal: A Prayer for Rain,Bhopal: A Prayer for Rain,2014,96,Drama
tt0840358,Everyday Sunshine: The Story of Fishbone,Everyday Sunshine: The Story of Fishbone,2010,107,"Documentary,Music"
tt0840361,The Town,The Town,2010,125,"Crime,Drama,Thriller"
tt0840789,Río de oro,Río de oro,2010,,Western
tt0841185,Whatever Happened to Pete Blaggit?,Whatever Happened to Pete Blaggit?,2012,94,"Comedy,Sci-Fi"
tt0842926,The Kids Are All Right,The Kids Are All Right,2010,106,"Comedy,Drama,Romance"
tt0843839,The Fallen Word,The Fallen Word,2013,60,"Drama,Fantasy,Mystery"
tt0844699,Ivan Mosjoukine ou L'enfant du carnaval,Ivan Mosjoukine ou L'enfant du carnaval,2016,67,Documentary
